[1481346000] LOG ROTATION: DAILY
[1481346000] LOG VERSION: 2.0
[1481346000] CURRENT HOST STATE: FTTH-AFZ01;DOWN;HARD;4;(Host check timed out after 30.01 seconds)
[1481346000] CURRENT HOST STATE: FTTH-AMERICAN_DATA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.17 ms
[1481346000] CURRENT HOST STATE: FTTH-AMERICAN_DATA02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.14 ms
[1481346000] CURRENT HOST STATE: FTTH-CIS01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 129.15 ms
[1481346000] CURRENT HOST STATE: FTTH-LUMINET01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 5.12 ms
[1481346000] CURRENT HOST STATE: FTTH-MERIDIANO01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.03 ms
[1481346000] CURRENT HOST STATE: FTTH-SABANA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.70 ms
[1481346000] CURRENT HOST STATE: FTTH-SANTA_ANA01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 4.57 ms
[1481346000] CURRENT HOST STATE: FTTH-SANTA_ANA02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.23 ms
[1481346000] CURRENT HOST STATE: FTTH-SANTA_ANA03;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.13 ms
[1481346000] CURRENT HOST STATE: FTTH-WORLDCOM01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 1.14 ms
[1481346000] CURRENT HOST STATE: FTTH-ZAPOTE01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 2.64 ms
[1481346000] CURRENT HOST STATE: OS-MONITOREO;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.11 ms
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - ALMACEN FISCAL;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - BOSH;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - CITRIX;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - COGNIZANT;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - FIDELITAS;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;AMERICAN DATA - TEGRAMEDICAL;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;PING;CRITICAL;HARD;4;PING CRITICAL - Packet loss = 100%
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;TRONCAL SANTA_ANA01;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AFZ01;WORLDCOM - PEUGEOT;OK;HARD;1;(No output on stdout) stderr:
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - AGATHA;OK;HARD;1;OK - Average IN: 345.04b (0.00%), Average OUT: 770.24b (0.00%)Total RX: 2507.99Gbits, Total TX: 207.96Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - ALMACEN FISCAL;OK;HARD;1;OK - Average IN: 2.04Mb (2.04%), Average OUT: 40.98Mb (40.98%)Total RX: 36232.30Gbits, Total TX: 70242.91Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - BLUE CROSS;OK;HARD;1;OK - Average IN: 118.86Kb (0.12%), Average OUT: 154.20Kb (0.15%)Total RX: 17455.03Gbits, Total TX: 3044.62Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - BOSH;OK;HARD;1;OK - Average IN: 1.42Kb (0.00%), Average OUT: 3.00Kb (0.00%)Total RX: 514.73Gbits, Total TX: 447.60Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - CELLISTIC;OK;HARD;1;OK - Average IN: 14.27Kb (0.01%), Average OUT: 15.24Kb (0.02%)Total RX: 308.86Gbits, Total TX: 174.75Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - CHESSYS;OK;HARD;1;OK - Average IN: 749.68b (0.00%), Average OUT: 1.27Kb (0.00%)Total RX: 8528.48Gbits, Total TX: 1085.76Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - COGNISAN;OK;HARD;1;OK - Average IN: 2.28Kb (0.00%), Average OUT: 2.77Kb (0.00%)Total RX: 40.10Gbits, Total TX: 55.91Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - DEL MONTE;OK;HARD;1;OK - Average IN: 13.83Mb (13.83%), Average OUT: 1.17Mb (1.17%)Total RX: 93892.19Gbits, Total TX: 21818.14Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - FRUTICA;OK;HARD;1;OK - Average IN: 15.37Kb (0.02%), Average OUT: 13.55Kb (0.01%)Total RX: 6885.08Gbits, Total TX: 756.62Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - FSC;OK;HARD;1;OK - Average IN: 1.24Mb (1.24%), Average OUT: 33.14Mb (33.14%)Total RX: 16444.70Gbits, Total TX: 25941.47Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - GEOTEK;OK;HARD;1;OK - Average IN: 217.68b (0.00%), Average OUT: 6.30Kb (0.01%)Total RX: 2.44Gbits, Total TX: 5605.51Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - INTCOMEX;OK;HARD;1;OK - Average IN: 1.70Mb (1.70%), Average OUT: 6.88Mb (6.88%)Total RX: 22663.29Gbits, Total TX: 34502.40Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - NHC;OK;HARD;1;OK - Average IN: 89.55Kb (0.09%), Average OUT: 91.98Kb (0.09%)Total RX: 597.52Gbits, Total TX: 471.31Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - OASIS;OK;HARD;1;OK - Average IN: 11.91Kb (0.01%), Average OUT: 18.12Kb (0.02%)Total RX: 2331.00Gbits, Total TX: 614.16Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - OFICINA DENTAL[CLIENTE];OK;HARD;1;OK - Average IN: 22.51Kb (0.02%), Average OUT: 76.22Kb (0.08%)Total RX: 2517.27Gbits, Total TX: 15822.52Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - OFICINA DENTAL[ISP];OK;HARD;1;OK - Average IN: 200.59Kb (0.20%), Average OUT: 52.92Kb (0.05%)Total RX: 15822.00Gbits, Total TX: 2520.66Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - PLAZA MAYOR;OK;HARD;1;OK - Average IN: 5.46Mb (5.46%), Average OUT: 4.83Mb (4.83%)Total RX: 215582.11Gbits, Total TX: 56542.14Gbits
[1481346000] CURRENT SERVICE STATE: FTTH-AMERICAN_DATA01;AMERICAN DATA - PRISMAN BUSSINESS;OK;HARD;1;OK - Average IN: 52.08b (0.00%), Average OUT: 447.44b (0.00%)Total RX: 432.80Mbits, Total TX: 4.23Gbits
